"restaurant_id","restaurant_name","total_revenue"
46,"The Hungry Panda 46","5077.01"
67,"Golden Spoon 67","5049.71"
232,"Caf̩ Masaledar 232","4988.42"
238,"Masala Magic 238","4949.20"
25,"Chai & Chat 25","4910.43"
150,"Rasoi Ghar 150","4845.14"
255,"Golden Spoon 255","4782.22"
31,"Bombay Bistro 31","4735.75"
127,"Tandoori Nights 127","4727.45"
274,"Taste of Punjab 274","4711.23"
117,"Masala Magic 117","4704.60"
278,"Curry Kingdom 278","4661.41"
94,"The Food Studio 94","4605.59"
115,"Annapurna Bhavan 115","4588.65"
286,"Urban Tadka 286","4587.98"
205,"Mughal Mahal 205","4586.87"
297,"Dragon Wok 297","4564.41"
140,"Golden Spoon 140","4557.62"
16,"Taste of Punjab 16","4522.62"
95,"Rasoi Ghar 95","4502.08"
21,"Masala Magic 21","4496.29"
148,"Pizza Junction 148","4484.77"
195,"Flavours of India 195","4410.94"
47,"Caf̩ Masaledar 47","4406.02"
239,"Biryani House 239","4390.06"
4,"Royal Tandoor 4","4359.09"
220,"Dragon Wok 220","4343.35"
99,"The Food Studio 99","4317.79"
126,"Annapurna Bhavan 126","4305.80"
159,"Spice Villa 159","4300.69"
118,"Chutney Express 118","4286.45"
181,"Delhi Darbar 181","4215.27"
207,"Pizza Junction 207","4200.31"
244,"Mumbai Masala 244","4171.86"
263,"Rasoi Ghar 263","4130.07"
154,"The Curry Leaf 154","4112.64"
250,"Rasoi Ghar 250","4065.79"
248,"Taste of Punjab 248","4061.20"
198,"Delhi Darbar 198","4029.99"
53,"Chai & Chat 53","3991.22"
188,"Rasoi Ghar 188","3982.18"
206,"Curry Kingdom 206","3953.87"
290,"Saffron Delight 290","3921.07"
83,"Mumbai Masala 83","3890.40"
13,"Rasoi Ghar 13","3882.11"
28,"Dragon Wok 28","3879.29"
261,"Curry Kingdom 261","3820.41"
199,"Golden Spoon 199","3795.31"
80,"Masala Magic 80","3760.65"
166,"Spice Villa 166","3753.88"
51,"Flavours of India 51","3746.74"
66,"Caf̩ Masaledar 66","3746.02"
225,"Royal Tandoor 225","3702.71"
235,"Biryani House 235","3686.64"
240,"Kolkata Kitchen 240","3650.35"
173,"Chai & Chat 173","3638.62"
182,"Chai & Chat 182","3607.14"
61,"Flavours of India 61","3576.26"
265,"Burger Factory 265","3560.02"
254,"Delhi Darbar 254","3526.72"
280,"Taste of Punjab 280","3497.93"
134,"Burger Factory 134","3494.25"
137,"The Curry Leaf 137","3491.64"
48,"Madras Cafe 48","3476.59"
162,"Masala Magic 162","3466.00"
157,"Rasoi Ghar 157","3459.53"
124,"Taste of Punjab 124","3449.34"
272,"Annapurna Bhavan 272","3447.26"
20,"Pizza Junction 20","3411.51"
186,"Flavours of India 186","3398.63"
109,"Madras Cafe 109","3397.43"
229,"Mughal Mahal 229","3393.46"
9,"Delhi Darbar 9","3387.91"
70,"Kolkata Kitchen 70","3384.87"
128,"Bombay Bistro 128","3377.89"
19,"Chai & Chat 19","3342.24"
26,"Chai & Chat 26","3329.29"
138,"Biryani House 138","3294.28"
211,"Bombay Bistro 211","3284.93"
191,"Rasoi Ghar 191","3284.28"
38,"Curry Kingdom 38","3254.68"
170,"Rasoi Ghar 170","3238.72"
287,"Curry Kingdom 287","3219.81"
175,"Saffron Delight 175","3214.93"
97,"Bombay Bistro 97","3167.79"
17,"Chai & Chat 17","3156.61"
102,"Caf̩ Masaledar 102","3135.88"
169,"Flavours of India 169","3132.70"
256,"Pizza Junction 256","3077.58"
277,"Saffron Delight 277","3062.05"
294,"Chai & Chat 294","3020.34"
190,"Punjabi Dhaba 190","2962.98"
187,"Curry Kingdom 187","2892.83"
204,"Kolkata Kitchen 204","2883.38"
257,"Madras Cafe 257","2874.00"
289,"Royal Tandoor 289","2857.70"
27,"The Curry Leaf 27","2846.15"
32,"Annapurna Bhavan 32","2814.75"
222,"Punjabi Dhaba 222","2798.23"
121,"Spice Villa 121","2757.35"
33,"Pizza Junction 33","2755.36"
132,"The Hungry Panda 132","2712.52"
185,"South Spice 185","2695.82"
260,"Biryani House 260","2637.30"
270,"Golden Spoon 270","2633.55"
98,"Pizza Junction 98","2588.98"
101,"Saffron Delight 101","2558.36"
18,"Delhi Darbar 18","2543.11"
180,"Dragon Wok 180","2531.56"
183,"Urban Tadka 183","2517.46"
111,"Caf̩ Masaledar 111","2506.03"
59,"Mughal Mahal 59","2434.58"
58,"Curry Kingdom 58","2434.00"
264,"Pizza Junction 264","2424.52"
130,"Tandoori Nights 130","2416.39"
275,"Golden Spoon 275","2374.23"
125,"The Hungry Panda 125","2361.01"
100,"Chutney Express 100","2318.46"
266,"Taste of Punjab 266","2236.04"
202,"The Curry Leaf 202","2233.16"
141,"Madras Cafe 141","2221.07"
43,"The Food Studio 43","2182.36"
171,"Golden Spoon 171","2138.26"
160,"Taste of Punjab 160","2134.64"
87,"Bombay Bistro 87","2129.05"
163,"Flavours of India 163","2120.49"
8,"Bombay Bistro 8","2117.14"
108,"Taste of Punjab 108","2115.30"
14,"Madras Cafe 14","2105.12"
119,"The Hungry Panda 119","2079.63"
123,"South Spice 123","2077.05"
107,"Kolkata Kitchen 107","2029.09"
50,"Mughal Mahal 50","2013.08"
281,"Masala Magic 281","2012.05"
62,"Pizza Junction 62","1982.68"
227,"South Spice 227","1919.07"
149,"Golden Spoon 149","1899.37"
299,"Delhi Darbar 299","1864.71"
45,"Saffron Delight 45","1854.71"
37,"Masala Magic 37","1842.53"
139,"Dragon Wok 139","1830.72"
6,"Madras Cafe 6","1827.22"
110,"Taste of Punjab 110","1825.52"
105,"Caf̩ Masaledar 105","1820.26"
129,"Pizza Junction 129","1771.41"
194,"Annapurna Bhavan 194","1689.42"
64,"Biryani House 64","1661.39"
210,"Curry Kingdom 210","1572.84"
247,"Tandoori Nights 247","1546.11"
11,"Punjabi Dhaba 11","1506.56"
7,"Dragon Wok 7","1494.43"
231,"Taste of Punjab 231","1491.62"
15,"Mumbai Masala 15","1491.48"
72,"Royal Tandoor 72","1489.40"
1,"Chai & Chat 1","1433.17"
192,"The Curry Leaf 192","1334.08"
298,"Madras Cafe 298","1295.28"
144,"Curry Kingdom 144","1287.38"
208,"Golden Spoon 208","1245.43"
39,"Delhi Darbar 39","1233.32"
258,"Chai & Chat 258","1215.24"
82,"Chai & Chat 82","1187.64"
