"discount","discount_count"
"269.44","1"
"129.40","1"
"292.32","1"
"28.77","1"
"1.14","1"
"29.10","1"
"34.65","1"
"163.24","1"
"78.99","1"
"225.67","1"
"226.94","1"
"160.65","1"
"270.83","1"
"186.08","1"
"37.86","1"
"188.17","1"
"165.62","1"
"234.51","1"
"227.51","1"
"141.91","1"
"208.10","1"
"252.85","1"
"122.15","1"
"19.69","1"
"57.83","1"
"108.11","1"
"276.92","1"
"288.16","1"
"171.68","1"
"122.85","1"
"2.54","1"
"112.94","1"
"156.19","1"
"289.95","1"
"205.32","1"
"83.07","1"
"241.63","1"
"299.24","1"
"298.43","1"
"142.72","1"
"29.28","1"
"66.68","1"
"88.22","1"
"186.20","1"
"123.93","1"
"267.85","1"
"146.27","1"
"62.81","1"
"130.11","1"
"160.13","1"
"1.24","1"
"115.07","1"
"136.78","1"
"218.15","1"
"109.98","1"
"178.18","1"
"125.03","1"
"61.65","1"
"80.99","1"
"34.20","1"
"249.45","1"
"164.44","1"
"26.70","1"
"233.86","1"
"293.19","1"
"255.67","1"
"227.46","1"
"268.36","1"
"120.08","1"
"194.65","1"
"253.30","1"
"54.38","1"
"146.44","1"
"3.71","1"
"206.47","1"
"199.11","1"
"280.31","1"
"96.19","1"
"113.59","1"
"256.98","1"
"123.70","1"
"191.26","1"
"109.00","1"
"179.99","1"
"106.54","1"
"49.25","1"
"36.22","1"
"124.34","1"
"40.39","1"
"129.84","1"
"244.57","1"
"151.23","1"
"289.08","1"
"265.93","1"
"280.65","1"
"276.36","1"
"34.62","1"
"213.04","1"
"114.26","1"
"205.02","1"
"9.69","1"
"222.72","1"
"14.09","1"
"16.14","1"
"211.39","1"
"53.23","1"
"12.19","1"
"76.50","1"
"96.79","1"
"235.21","1"
"151.54","1"
"265.02","1"
"185.48","1"
"133.70","1"
"283.50","1"
"155.06","1"
"269.48","1"
"286.88","1"
"188.85","1"
"263.59","1"
"99.51","1"
"172.49","1"
"129.91","1"
"216.09","1"
"150.85","1"
"131.30","1"
"224.03","1"
"274.25","1"
"1.51","1"
"55.20","1"
"255.42","1"
"20.21","1"
"201.39","1"
"95.34","1"
"45.72","1"
"73.85","1"
"99.47","1"
"32.65","1"
"265.90","1"
"174.57","1"
"176.88","1"
"109.16","1"
"42.11","1"
"145.05","1"
"110.83","1"
"136.39","1"
"156.41","1"
"196.10","1"
"66.87","1"
"1.98","1"
"84.24","1"
"35.50","1"
"143.64","1"
"38.37","1"
"44.06","1"
"169.08","1"
"141.42","1"
"174.79","1"
"178.96","1"
"60.70","1"
"270.48","1"
"39.10","1"
"111.11","1"
"114.37","1"
"69.75","1"
"1.64","1"
"196.36","1"
"175.61","1"
"297.54","1"
"111.06","1"
"211.65","1"
"152.50","1"
"289.37","1"
"19.22","1"
"279.21","1"
"232.08","1"
"279.23","1"
"26.05","1"
"60.09","1"
"167.73","1"
"58.36","1"
"31.94","1"
"287.01","1"
"168.95","1"
"258.61","1"
"298.26","1"
"210.25","1"
"246.32","1"
"268.29","1"
"70.46","1"
"250.90","1"
"199.03","1"
"147.70","1"
"66.63","1"
"162.23","1"
"36.11","1"
"63.23","1"
"56.15","1"
"55.17","1"
"120.18","1"
"244.26","1"
"240.01","1"
"298.67","1"
"257.55","1"
"244.15","1"
"108.09","1"
"260.21","1"
"234.09","1"
"134.08","1"
"43.45","1"
"254.67","1"
"195.90","1"
"156.28","1"
"70.39","1"
"19.14","1"
"298.80","1"
"265.64","1"
"37.92","1"
"97.56","1"
"290.86","1"
"190.76","1"
"272.68","1"
"123.66","1"
"254.38","1"
"147.58","1"
"239.03","1"
"74.97","1"
"71.87","1"
"123.87","1"
"185.32","1"
"290.91","1"
"131.52","1"
"102.57","1"
"253.06","1"
"54.48","1"
"292.49","1"
"294.63","1"
"218.47","1"
"59.62","1"
"4.52","1"
"12.60","1"
"27.42","1"
"237.44","1"
"227.01","1"
"40.42","1"
"209.11","1"
"140.52","1"
"245.83","1"
"220.10","1"
"197.49","1"
"46.24","1"
"156.96","1"
"145.61","1"
"157.75","1"
"3.93","1"
"167.41","1"
"12.20","1"
"217.55","1"
"171.01","1"
"172.97","1"
"151.41","1"
"165.02","1"
"277.84","1"
"10.40","1"
"295.32","1"
"153.38","1"
"46.83","1"
"90.09","1"
"237.87","1"
"28.61","1"
"276.56","1"
"68.02","1"
"161.98","1"
"202.09","1"
"129.58","1"
"223.59","1"
"232.15","1"
"195.67","1"
"21.49","1"
"124.07","1"
"7.26","1"
"132.14","1"
"255.83","1"
"246.04","1"
"6.82","1"
"271.81","1"
"236.76","1"
"198.11","1"
"114.21","1"
"59.66","1"
"158.82","1"
"205.29","1"
"187.74","1"
"269.15","1"
"205.96","1"
"272.92","1"
"174.31","1"
"129.02","1"
"284.58","1"
"82.14","1"
"183.59","1"
"206.21","1"
"181.41","1"
"57.98","1"
"201.40","1"
"146.98","1"
"182.38","1"
"157.57","1"
"12.72","1"
"154.84","1"
"232.10","1"
"16.36","1"
"150.20","1"
"27.05","1"
"190.22","1"
"47.97","1"
"197.86","1"
"92.86","1"
"288.13","1"
"163.05","1"
"136.12","1"
"164.20","1"
"104.71","1"
"276.12","1"
"183.33","1"
"10.75","1"
"252.99","1"
"82.33","1"
"32.79","1"
"295.88","1"
"298.51","1"
"189.56","1"
"0.47","1"
"299.70","1"
"63.70","1"
"165.00","1"
"170.68","1"
"143.73","1"
"138.19","1"
"89.80","1"
"99.52","1"
"112.57","1"
"35.05","1"
"149.12","1"
"52.50","1"
"239.71","1"
"157.09","1"
"10.97","1"
"206.12","1"
"197.70","1"
"201.34","1"
"186.88","1"
"81.32","1"
"267.67","1"
"202.65","1"
"211.40","1"
"201.26","1"
"240.71","1"
"284.23","1"
"199.55","1"
"105.43","1"
"152.38","1"
"159.82","1"
"292.17","1"
"294.06","1"
"200.88","1"
"166.53","1"
"205.65","1"
"245.11","1"
"87.45","1"
"238.30","1"
"295.93","1"
"290.37","1"
"70.57","1"
"163.54","1"
"277.34","1"
"21.52","1"
"40.73","1"
"186.97","1"
"67.72","1"
"80.78","1"
"211.46","1"
"219.39","1"
"93.75","1"
"271.82","1"
"10.60","1"
"50.72","1"
"38.05","1"
"257.36","1"
"197.75","1"
"239.81","1"
"46.25","1"
"50.18","1"
"34.80","1"
"284.48","1"
"43.54","1"
"288.53","1"
"129.54","1"
"175.25","1"
"203.32","1"
"3.59","1"
"217.58","1"
"281.55","1"
"38.97","1"
"140.09","1"
"77.47","1"
"60.20","1"
"230.61","1"
"21.88","1"
"192.10","1"
"172.39","1"
"234.28","1"
"245.39","1"
"90.85","1"
"137.89","1"
"198.22","1"
"265.56","1"
"298.92","1"
"149.91","1"
"216.30","1"
"203.42","1"
"42.48","1"
"39.16","1"
"250.61","1"
"66.17","1"
"292.76","1"
"177.93","1"
"50.42","1"
"12.21","1"
"2.17","1"
"61.85","1"
"183.16","1"
"234.77","1"
"295.98","1"
"187.94","1"
"205.57","1"
"109.26","1"
"227.52","1"
"8.72","1"
"97.79","1"
"71.14","1"
"145.32","1"
"112.05","1"
"38.16","1"
"137.57","1"
"238.37","1"
"156.53","1"
"220.85","1"
"278.24","1"
"141.20","1"
"239.41","1"
"3.73","1"
"299.69","1"
"257.38","1"
"121.61","1"
"21.21","1"
"209.42","1"
"100.71","1"
"109.68","1"
"168.23","1"
"143.55","1"
"151.07","1"
"145.87","1"
"159.86","1"
"265.19","1"
"23.08","1"
"262.50","1"
"142.17","1"
"6.61","1"
"196.73","1"
"68.03","1"
"286.86","1"
"207.86","1"
"172.36","1"
"10.41","1"
"48.78","1"
"284.34","1"
"99.38","1"
"218.56","1"
"41.83","1"
"66.11","1"
"175.03","1"
"133.64","1"
"181.52","1"
"111.85","1"
"26.28","1"
"291.11","1"
"62.34","1"
"170.37","1"
"12.67","1"
"67.36","1"
"141.76","1"
"229.42","1"
"169.67","1"
"172.58","1"
"263.50","1"
"190.87","1"
"23.05","1"
"261.73","1"
"174.01","1"
"145.47","1"
"249.47","1"
"240.77","1"
"143.86","1"
"291.03","1"
"257.04","1"
"23.58","1"
"32.35","1"
"90.49","1"
"60.01","1"
"104.35","1"
"29.73","1"
"51.53","1"
"142.41","1"
"294.39","1"
"295.38","1"
"108.38","1"
"115.43","1"
"87.18","1"
"25.50","1"
"253.21","1"
"214.05","1"
"180.95","1"
"32.41","1"
"8.92","1"
"114.79","1"
"22.96","1"
"147.08","1"
"229.19","1"
"132.77","1"
"49.24","1"
"32.81","1"
"168.68","1"
"291.26","1"
"38.46","1"
"29.21","1"
"74.28","1"
"50.93","1"
"94.95","1"
"30.02","1"
"89.86","1"
"160.75","1"
"67.77","1"
"169.93","1"
"195.46","1"
"124.29","1"
"5.58","1"
"247.17","1"
"272.05","1"
"72.11","1"
"253.79","1"
"70.84","1"
"248.17","1"
"11.10","1"
"83.33","1"
"16.60","1"
"122.10","1"
"171.29","1"
"279.47","1"
"242.01","1"
"65.40","1"
"258.87","1"
"127.13","1"
"246.41","1"
"115.41","1"
"272.94","1"
"257.83","1"
"82.21","1"
"99.82","1"
"105.56","1"
"192.41","1"
"188.49","1"
"214.07","1"
"40.05","1"
"54.57","1"
"194.13","1"
"50.63","1"
"110.38","1"
"276.00","1"
"258.58","1"
"61.98","1"
"237.74","1"
"74.50","1"
"96.97","1"
"76.87","1"
"141.28","1"
"90.75","1"
"78.09","1"
"213.08","1"
"38.36","1"
"228.47","1"
"298.37","1"
"44.59","1"
"140.14","1"
"168.26","1"
"28.07","1"
"168.97","1"
"54.17","1"
"7.79","1"
"46.13","1"
"286.56","1"
"97.47","1"
"16.66","1"
"53.40","1"
"120.72","1"
"276.51","1"
"146.89","1"
"226.95","1"
"154.00","1"
"158.18","1"
"240.46","1"
"156.93","1"
"154.02","1"
"170.54","1"
"4.88","1"
"263.03","1"
"134.98","1"
"294.66","1"
"35.00","1"
"289.74","1"
"288.94","1"
"33.57","1"
"194.92","1"
"44.45","1"
"88.45","1"
"11.11","1"
"271.52","1"
"172.92","1"
"35.08","1"
"217.86","1"
"272.72","1"
"249.92","1"
"224.78","1"
"30.27","1"
"299.78","1"
"257.84","1"
"68.01","1"
"230.81","1"
"31.24","1"
"182.90","1"
"228.59","1"
"41.33","1"
"142.10","1"
"226.45","1"
"41.40","1"
"108.53","1"
"25.43","1"
"11.13","1"
"125.79","1"
"270.06","1"
"187.31","1"
"25.28","1"
"162.24","1"
"227.11","1"
"249.67","1"
"77.93","1"
"171.73","1"
"268.30","1"
"244.52","1"
"31.57","1"
"142.88","1"
"167.69","1"
"132.02","1"
"213.35","1"
"9.78","1"
"33.10","1"
"111.44","1"
"42.64","1"
"221.90","1"
"125.27","1"
"200.17","1"
"69.85","1"
"193.77","1"
"37.13","1"
"15.86","1"
"36.08","1"
"211.69","1"
"176.67","1"
"257.89","1"
"162.53","1"
"285.65","1"
"17.55","1"
"77.38","1"
"147.89","1"
"165.94","1"
"265.85","1"
"166.41","1"
"190.74","1"
"161.26","1"
"288.33","1"
"75.27","1"
"84.39","1"
"287.23","1"
"198.68","1"
"274.21","1"
"201.81","1"
"161.44","1"
"105.90","1"
"111.14","1"
"204.17","1"
"215.34","1"
"211.21","1"
"83.20","1"
"169.71","1"
"38.23","1"
"203.39","1"
"128.13","1"
"155.49","1"
"275.52","1"
"24.54","1"
"275.10","1"
"29.02","1"
"252.15","1"
"246.49","1"
"28.70","1"
"113.22","1"
"187.86","1"
"254.98","1"
"236.24","1"
"185.77","1"
"32.40","1"
"152.67","1"
"72.95","1"
"287.92","1"
"92.60","1"
"203.49","1"
"58.62","1"
"208.43","1"
"125.61","1"
"1.11","1"
"220.38","1"
"2.02","1"
"87.17","1"
"85.23","1"
"58.80","1"
"236.22","1"
"242.85","1"
"264.82","1"
"95.39","1"
"160.64","1"
"261.86","1"
"237.30","1"
"155.67","1"
"214.69","1"
"237.19","1"
"118.77","1"
"112.23","1"
"105.47","1"
"135.35","1"
"7.42","1"
"24.73","1"
"277.98","1"
"100.13","1"
"181.21","1"
"103.99","1"
"153.79","1"
"154.75","1"
"56.35","1"
"41.69","1"
"125.74","1"
"235.61","1"
"274.13","1"
"115.93","1"
"91.39","1"
"206.71","1"
"115.77","1"
"17.24","1"
"296.88","1"
"271.08","1"
"199.44","1"
"205.45","1"
"119.77","1"
"172.84","1"
"269.99","1"
"28.66","1"
"200.00","1"
"110.62","1"
"62.21","1"
"224.92","1"
"75.18","1"
"20.47","1"
"83.74","1"
"37.25","1"
"46.05","1"
"159.69","1"
"92.50","1"
"112.39","1"
"4.37","1"
"13.20","1"
"187.40","1"
"106.97","1"
"63.83","1"
"20.20","1"
"30.54","1"
"294.42","1"
"206.29","1"
"134.67","1"
"184.90","1"
"185.93","1"
"112.72","1"
"95.26","1"
"68.70","1"
"275.30","1"
"132.71","1"
"297.60","1"
"238.57","1"
"93.44","1"
"85.61","1"
"107.87","1"
"220.48","1"
"227.66","1"
"139.10","1"
"99.97","1"
"150.21","1"
"111.94","1"
"11.65","1"
"287.13","1"
"208.94","1"
"243.94","1"
"44.21","1"
"27.69","1"
"56.65","1"
"159.96","1"
"171.78","1"
"119.39","1"
"232.12","1"
"51.19","1"
"150.78","1"
"224.97","1"
"32.76","1"
"19.28","1"
"30.24","1"
"12.56","1"
"288.62","1"
